"parcela","location","sizeplot","state","Name","plotID","year","owner","Alive.parcela","Dead.parcela","AGB","min.DBH","max.DBH","mean.DBH","sd.DBH","areaplot35","areaplot10","AGB10","ACD10","AGB35","ACD35","AGB.plot","ACD","min.height","max.height","mean.height","sd.height","min.WD","max.WD","mean.WD","sd.WD","No.trees","No.palms","No.families","No.genus","No.species","BA10","BA10.plot","BA35","BA35.plot","Basal.area.plot","WD10","WD35","WD.C1","WD.C2"
"CAU_A01 T14_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T14_P4",2018,"PaiSus",47,4,59.6506332847768,10.1,92,28.2913043478261,16.5292310244872,0.25,0.1,114.590272711895,55.0033309017097,192.063928733886,92.1906857922651,306.654201445781,147.194016693975,11.59068,40.72842,20.4552236956522,6.5044754031227,0.4743333,0.9295,0.785902441304348,0.111806944525093,"46","0",11,16,22,11067.9487283214,110679.487283214,27505.3112706175,110021.24508247,22.0700732365684,0.776452192865319,0.844769734678056,0.810610963771687,0.810509084886669
"CAU_A01 T15_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T15_P1",2018,"PaiSus",44,5,48.471675877304,10.1,61.9,29.5604651162791,15.3051522531728,0.25,0.1,116.468890608621,55.9050674921381,147.625099729193,70.8600478700127,264.093990337814,126.765115362151,11.59068,32.9642,21.0654944186047,6.3295843781184,0.436,0.9213636,0.738748325581395,0.13002646465008,"43","0",12,20,24,11332.6043474414,113326.043474414,25905.2510082544,103621.004033018,21.6947047507432,0.756443539813932,0.719395838195236,0.737919689004584,0.738748346065266
"CAU_A01 T15_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T15_P2",2018,"PaiSus",57,2,73.6830085499687,10.4,87.6,29.2309090909091,18.6712680115264,0.25,0.1,115.102924395371,55.2494037097782,247.970101095432,119.025648525807,363.073025490803,174.275052235586,11.79985,39.68997,20.6286678181818,7.33871276366228,0.49,0.9295,0.745253165454545,0.113682852548553,"55","0",13,20,27,12127.6707622303,121276.707622303,39567.0871269387,158268.348507755,27.9545056130058,0.731394587151125,0.746397331215394,0.73889595918326,0.739888600813923
"CAU_A01 T15_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T15_P3",2018,"PaiSus",53,4,55.3442332167017,10.1,87,26.6634615384615,18.0583588688925,0.25,0.1,71.1710027801977,34.1620813344949,192.870059740679,92.5776286755261,264.041062520877,126.739710010021,11.59068,39.54617,19.4447138461538,7.45423439276121,0.470125,0.997,0.741619361538462,0.138904510991162,"51","1",18,26,34,7578.1969228791,75781.969228791,34519.3095688384,138077.238275354,21.3859207504145,0.770649208627237,0.703364464401071,0.737006836514154,0.727207115255444
"CAU_A01 T15_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T15_P4",2018,"PaiSus",61,1,70.6048516871349,10,88,28.0852459016393,17.138152721006,0.25,0.1,104.5919224299,50.2041227663522,240.336422400432,115.361482752207,344.928344830332,165.56560551856,11.52033,39.78553,20.2425162295082,6.92493553840543,0.352584,0.997,0.738537572131148,0.134148979484865,"61","0",17,26,32,11102.9225085374,111029.225085374,40528.0689037453,162112.275614981,27.3141500700356,0.754283294312667,0.737270647649158,0.745776970980913,0.744186114434167
"CAU_A01 T16_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T16_P1",2018,"PaiSus",50,6,17.6175280193206,10.2,64.3,18.53,10.204485808322,0.25,0.1,88.0493678363327,42.2636965614397,35.354353945083,16.9700898936399,123.403721781416,59.2337864550796,11.66071,33.6492,16.1934704,4.45486955526195,0.34,0.9295,0.676753302,0.151991041217932,"50","0",14,18,28,10972.7977408258,109727.977408258,6518.40420313549,26073.6168125419,13.5801594220799,0.666935048424021,0.676348185117399,0.67164161677071,0.668742350617751
"CAU_A01 T16_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T16_P2",2018,"PaiSus",56,5,81.1989598402601,10.8,98.5,29.175,19.9760333672856,0.25,0.1,120.416000073746,57.799680035398,274.72537765224,131.868181273075,395.141377725986,189.667861308473,12.07454,42.21389,20.5334323214286,7.54769214222756,0.445375,0.9295,0.734470210714286,0.133028601918579,"56","0",17,24,32,12371.2541486263,123712.541486263,42302.9980671888,169211.992268755,29.2924533755019,0.742977140457681,0.740741885089001,0.741859512773341,0.741685913637875
"CAU_A01 T16_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T16_P3",2018,"PaiSus",41,6,45.4782915456314,10.4,97,26.2926829268293,18.1001020749042,0.25,0.1,81.4353531858552,39.0889695292105,148.096174665673,71.0861638395232,229.531527851528,110.175133368734,11.79985,41.87599,19.4435858536585,6.85633490820095,0.2547611,0.9295,0.643755831707317,0.167179298111017,"41","0",17,26,33,10262.4600799042,102624.600799042,22290.770120483,89163.0804819322,19.1787681280974,0.616503786771892,0.740020248132815,0.678262017452353,0.673927225605969
"CAU_A01 T16_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T16_P4",2018,"PaiSus",51,6,64.1777923460165,11,78.4,29.5866666666667,16.4291943401576,0.25,0.1,96.2028850200205,46.1773848096098,218.337452869575,104.801977377396,314.540337889595,150.979362187006,12.21016,37.42275,20.9721635294118,6.71025173459858,0.436,0.9295,0.765212515686274,0.145894011765378,"51","0",13,19,29,9479.12311544677,94791.2311544677,36183.796042545,144735.18417018,23.9526415324648,0.775442061369485,0.77277127145527,0.774106666412377,0.773828221536455
"CAU_A01 T17_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T17_P1",2018,"PaiSus",59,4,29.0699208932764,10.1,60.8,20.7915254237288,12.3625029289156,0.25,0.1,69.8669254488667,33.536124215456,88.7942707021499,42.621249937032,158.661196151017,76.157374152488,11.59068,32.64554,17.1231788135593,5.51692188949352,0.339835,0.997,0.666921894915254,0.177564827440612,"58","1",17,26,37,9886.4585631593,98864.585631593,17107.0401402986,68428.1605611946,16.7292746192788,0.621782057039458,0.70444960809224,0.663115832565849,0.65559576734894
"CAU_A01 T17_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T17_P2",2018,"PaiSus",42,12,36.418042568816,11.4,67,24.8512195121951,15.7229946567316,0.25,0.1,72.9781460652885,35.0295101113385,116.627498452064,55.9811992569906,189.605644517352,91.0107093683291,12.47805,34.40375,18.8712675609756,6.5457307860329,0.474,0.99,0.730702704878049,0.142052284536575,"40","1",15,22,31,7837.68462208399,78376.8462208399,19815.7213262238,79262.8853048951,15.7639731525735,0.747621722653807,0.740717057202729,0.744169389928268,0.744149985545271
"CAU_A01 T17_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T17_P3",2018,"PaiSus",42,0,18.2569390304911,10,60.8,20.1119047619048,11.964239447273,0.25,0.1,88.3617528728869,42.4136413789857,37.98382282944,18.2322349581312,126.345575702327,60.6458763371169,11.52033,32.64554,16.8168747619048,5.29429816037429,0.43,0.9295,0.642426916666667,0.153771068517,"41","1",18,25,32,9825.89651077972,98258.9651077972,8126.25561527948,32505.0224611179,13.0763987568915,0.698979966105947,0.587374564594212,0.64317726535008,0.67123734254142
"CAU_A01 T17_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T17_P4",2018,"PaiSus",58,0,51.5998939528194,10.2,90.3,23.8448275862069,16.1484578853529,0.25,0.1,113.892019966844,54.6681695840849,160.238093941165,76.9142850917593,274.130113908009,131.582454675844,11.66071,40.33049,18.4449767241379,6.45685294103309,0.436,0.9213636,0.713521027586207,0.125019468255743,"55","3",16,24,34,12542.8636473287,125428.636473287,25031.7154629605,100126.861851842,22.5555498325129,0.718375216023662,0.753463204755051,0.735919210389357,0.733951206085773
"CAU_A01 T18_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T18_P1",2018,"PaiSus",50,5,33.5671444618668,11,57.8,23.886,13.3584340094067,0.25,0.1,124.197023087464,59.614571081983,84.9785403153144,40.7896993513509,209.175563402779,100.404270433334,12.21016,31.76063,18.5979814711218,5.83170602052627,0.2547611,0.9295,0.752314043142857,0.140213177851391,"50","0",16,24,28,13055.0532056067,130550.532056067,16217.513888398,64870.0555535919,19.5420587609659,0.727127269388857,0.681193835233413,0.704160552311135,0.711879620909861
"CAU_A01 T18_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T18_P2",2018,"PaiSus",68,1,140.771335635327,10.5,190,26.2603174603175,25.4463479836311,0.25,0.1,106.203208450857,50.9775400564115,497.815266165413,238.951327759398,604.018474616271,289.92886781581,11.86897,59.04282,18.9883085714286,8.06873643343661,0.41,0.997,0.729188053968254,0.138496234160012,"63","0",15,23,33,11818.1846159435,118181.846159435,53834.1118004289,215336.447201716,33.3518293361151,0.718976448344629,0.79304125928546,0.756008853815045,0.766796473716956
"CAU_A01 T18_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T18_P3",2018,"PaiSus",62,4,36.8704352411763,10.5,75.7,21.2451612903226,14.8040056322755,0.25,0.1,97.5065155708812,46.803127474023,108.103171770868,51.8895224500164,205.609687341749,98.6926499240394,11.86897,36.73028,17.2162935483871,6.03454764748507,0.339835,0.918,0.690050764516129,0.139137575191087,"62","0",15,23,29,12015.3352629195,120153.352629195,20463.0779084225,81852.3116336899,20.2005664262885,0.680407248369176,0.624071218412015,0.652239233390595,0.657579995989473
"CAU_A01 T18_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T18_P4",2018,"PaiSus",45,1,49.4656597771711,10.7,70.9,27.6955555555556,15.6172246916892,0.25,0.1,85.0843387937611,40.8404826210053,163.963668926955,78.7025610849384,249.048007720716,119.543043705944,12.00631,35.46556,20.2077933333333,6.4508572140946,0.436,0.997,0.774253944444444,0.12227520358754,"45","0",13,17,27,8465.50049797737,84655.0049797737,27072.5647365672,108290.258946269,19.2945263926042,0.800012496135123,0.771601504675418,0.785807000405271,0.78406686699923
"CAU_A01 T19_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T19_P1",2018,"PaiSus",56,0,97.932199575625,10.1,160.1,27.0375,24.4481905818666,0.25,0.1,108.078362411842,51.877613957684,339.082574556734,162.759635787232,447.160936968575,214.637249744916,11.59068,54.18633,19.3227141405194,8.18923206170238,0.3506667,0.9213636,0.703651899234694,0.151272232000454,"56","0",18,25,30,12293.0206375703,122930.206375703,45678.5922495813,182714.368998325,30.5644575374028,0.691238802109704,0.708819259544421,0.700029030827062,0.701748401970769
"CAU_A01 T19_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T19_P2",2018,"PaiSus",70,3,47.6349458157762,10,82,22.4045454545455,15.7449912115488,0.25,0.1,97.5467377723773,46.8224341307411,151.218115723796,72.584695547422,248.764853496173,119.407129678163,11.52033,38.32628,17.6806007156659,6.46097310935919,0.4055347,0.9295,0.718915211038961,0.150924327913241,"66","0",13,28,36,11424.236751165,114242.36751165,27251.4470222626,109005.78808905,22.32481556007,0.722486624234847,0.679738229273679,0.701112426754263,0.701613786697866
"CAU_A01 T19_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T19_P3",2018,"PaiSus",39,3,36.2936838781695,10.8,74.8,23.4051282051282,17.7539461694687,0.25,0.1,51.3713367157697,24.6582416235695,124.080111386001,59.5584534652803,175.45144810177,84.2166950888497,12.07454,36.4965,17.9956197435897,7.07665556898711,0.26,0.9295,0.687438497435897,0.152593529810959,"39","0",15,22,28,6918.21899219459,69182.1899219459,19268.4480319868,77073.7921279471,14.6255982049893,0.6414986076067,0.748857203067824,0.695177905337262,0.698074304229463
"CAU_A01 T19_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T19_P4",2018,"PaiSus",44,4,23.9006180788718,10.1,51.5,21.7386363636364,11.5576052864647,0.25,0.1,104.713819407984,50.2626333158325,54.1539308350573,25.9938868008275,158.867750243042,76.25652011666,11.59068,29.82003,17.6668868181818,5.34372082729827,0.43,0.9295,0.732008375,0.144033282318675,"44","0",13,19,26,10647.1402463546,106471.402463546,10194.8687139622,40779.4748558488,14.7250877319395,0.751955283524338,0.734876353749814,0.743415818637076,0.747225465950523
"CAU_A01 T20_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T20_P1",2018,"PaiSus",51,3,34.6702526516181,10.8,78.6,22.7020408163265,14.5495201781697,0.25,0.1,88.7146010609537,42.5830085092578,103.253713840457,49.5617826434195,191.968314901411,92.1447911526773,12.07454,37.47352,17.956067988127,6.04633571809632,0.2547611,0.9295,0.722173673469388,0.160339971919091,"49","0",12,20,28,9630.62296541422,96306.2296541422,18184.0959116737,72736.3836466949,16.9042613300837,0.751156818210191,0.717069948855793,0.734113383532992,0.736489773266536
"CAU_A01 T20_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T20_P2",2018,"PaiSus",45,2,87.3635893149465,10.2,142,27.6113636363636,24.0235080209393,0.25,0.1,109.094935854016,52.3655692099276,297.889845148889,142.987125671467,406.984781002905,195.352694881394,11.66071,50.98906,19.6075975412603,8.04098506432106,0.2547611,1.0565,0.729348493831169,0.148015900518182,"42","2",15,25,27,11234.0997097881,112340.997097881,34602.9858891668,138411.943556667,25.0752940654548,0.745614950346414,0.805322136728252,0.775468543537333,0.778572441053554
"CAU_A01 T20_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T20_P3",2018,"PaiSus",58,5,76.324128870868,10.1,101.7,27.6051724137931,19.1542714068598,0.25,0.1,89.7804913490733,43.0946358475552,267.689436448224,128.490929495148,357.469927797297,171.585565342703,11.59068,42.9254,19.8672536206897,7.43989180778264,0.445375,0.9295,0.742428222413793,0.111909373711945,"57","1",15,19,32,9627.27716923814,96272.7716923814,41510.9004574576,166043.60182983,26.2316373522212,0.754049129346385,0.756843793537379,0.755446461441882,0.755818123412393
"CAU_A01 T20_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T20_P4",2018,"PaiSus",50,5,39.1225265302313,10.1,81.6,24.35,17.0249004121185,0.25,0.1,70.9566931172213,34.0592126962662,127.819857150539,61.3535314322586,198.77655026776,95.4127441285248,11.59068,38.22696,18.4417234331725,6.93971545206675,0.326,1.076667,0.642490631845238,0.180319536886618,"47","1",18,31,38,8834.44913921496,88344.4913921495,24217.5403108562,96870.1612434248,18.5214652635574,0.652351215086643,0.631744606466604,0.642047910776624,0.641573636362184
"CAU_A01 T21_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T21_P1",2018,"PaiSus",32,4,29.3745932660452,11,72.8,24.628125,15.1337101686183,0.25,0.1,68.8415485766988,33.0439433168154,89.9050188479157,43.1544090469995,158.746567424614,76.1983523638149,12.21016,35.97152,18.85323875,6.22883729794851,0.43,0.9,0.718090728125,0.150387470265153,"32","0",10,17,21,7626.56959576275,76265.6959576275,13193.8094991341,52775.2379965365,12.9040933954164,0.705753497222683,0.834215050911013,0.769984274066848,0.758291779933149
"CAU_A01 T21_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T21_P2",2018,"PaiSus",47,4,41.5684879543007,10.9,74.5,25.545652173913,15.7007389284247,0.25,0.1,60.7993955649432,29.1837098711727,141.993608385157,68.1569320248756,202.793003950101,97.3406418960483,12.14249,36.41824,19.2336080434783,6.47696547477928,0.4585318,0.9,0.715502960869565,0.110455477195733,"45","1",12,21,25,7352.44207479214,73524.4207479214,24936.6822851894,99746.7291407578,17.3271149888679,0.704951449364092,0.725050349892867,0.71500089962848,0.716521751681349
"CAU_A01 T21_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T21_P3",2018,"PaiSus",43,10,34.5887682013408,10,80.8,22.4904761904762,16.0164063677981,0.25,0.1,79.0585248286881,37.9480919177703,106.136602019614,50.9455689694149,185.195126848303,88.8936608871852,11.52033,38.02753,17.7564730952381,6.36887700527108,0.476,0.9295,0.775630866666667,0.0938577936439229,"42","0",9,14,17,8205.18027671929,82051.8027671929,16740.667605037,66962.670420148,14.9014473187341,0.800601464954208,0.729779408750131,0.76519043685217,0.768776140161034
"CAU_A01 T21_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T21_P4",2018,"PaiSus",36,8,61.6635663057728,10,132.5,27.6277777777778,23.2861039016971,0.25,0.1,68.0410855628116,32.6597210701496,214.793797896808,103.101022990468,282.83488345962,135.760744060617,11.52033,49.21778,19.5941925,8.27063896309223,0.3506667,0.9295,0.727393386111111,0.162179386333702,"36","0",14,16,21,6504.35342999231,65043.5342999231,29982.951878816,119931.807515264,18.4975341815187,0.796475622580299,0.729660243161972,0.763067932871135,0.753154771569442
"CAU_A01 T22_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T22_P1",2018,"PaiSus",43,5,37.3168783322527,10.1,74.5,25.6209302325581,17.2339995929908,0.25,0.1,63.5166060331508,30.4879708959124,123.630809207169,59.3427884194409,187.147415240319,89.8307593153533,11.59068,36.41824,19.2213830232558,6.85691707037032,0.2547611,0.997,0.645375293023256,0.148851230388199,"41","2",14,24,27,8340.28446878691,83402.8446878691,23626.2297415975,94504.9189663901,17.7907763654259,0.62358604625715,0.633640741129286,0.628613393693218,0.628927117970971
"CAU_A01 T22_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T22_P2",2018,"PaiSus",45,2,54.6640603423751,10.4,93.2,25.2111111111111,19.3318886607574,0.25,0.1,92.7453212027983,44.5177541773432,179.916048556018,86.3597033068889,272.661369758817,130.877457484232,11.79985,41.0069,18.7571733333333,7.41221214629399,0.352584,0.9,0.729094608888889,0.132184593330993,"45","0",15,21,26,9551.72971990094,95517.2971990094,25827.1353069229,103308.541227692,19.8825838426701,0.761229466730885,0.765616493366162,0.763422980048523,0.763508935665123
"CAU_A01 T22_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T22_P3",2018,"PaiSus",54,5,42.0624751697157,10.1,75,22.9018867924528,15.4189006213657,0.25,0.1,77.6537309201092,37.2737908416524,137.172590743016,65.8428435566476,214.826321663125,103.1166343983,11.59068,36.54858,17.92069,6.51347992320541,0.4862,0.997,0.770268979245283,0.115908345348923,"53","0",10,21,31,8695.92061115491,86959.2061115491,22846.3921971969,91385.5687887877,17.8344774900337,0.759914209939948,0.759091604795673,0.75950290736781,0.759492699194594
"CAU_A01 T22_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T22_P4",2018,"PaiSus",53,4,110.6803117628,10,139.5,30.5622641509434,24.3819623304345,0.25,0.1,90.3343014085844,43.3604646761205,398.678864237047,191.365854833783,489.013165645632,234.726319509903,11.52033,50.5296,20.8565628301887,8.37255772128698,0.2547611,0.9295,0.72773308490566,0.149473435137254,"53","0",14,24,34,10142.3648467391,101423.648467391,53017.5647458711,212070.258983485,31.3493907450876,0.705916442970389,0.769296101908448,0.737606272439419,0.748791090183064
"DUC_A01 P02 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P02",2016,"PaiSus",49,5,51.6924246960848,10,91.1,28.130612244898,16.7703881400326,0.25,0.1,112.527134141245,54.0130243877975,161.779828918616,77.6543178809355,274.30696305986,131.667342268733,11.52033,40.51826,20.4318251020408,6.7280869397868,0.41,0.92275,0.668102718367347,0.128966977907448,"43","6",18,25,30,12064.8860330483,120648.860330483,28991.8343744799,115967.33749792,23.6616197828402,0.681201786943128,0.682795054966103,0.681998420954616,0.68198265931045
"DUC_A01 P04 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P04",2016,"PaiSus",74,3,61.9477504841433,10,73.9,24.6438356164384,16.1048386992282,0.25,0.1,102.333028007688,49.1198534436901,207.056841089071,99.3872837227542,309.389869096759,148.507137166444,11.52033,36.26121,18.6653855031615,6.85622167830566,0.41,0.9295,0.709817691193738,0.147704757839497,"73","0",20,30,43,12016.4112584034,120164.112584034,37470.4274598411,149881.709839364,27.0045822423398,0.699047369594977,0.708676013047878,0.703861691321428,0.704391490571201
"DUC_A01 P05 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P05",2016,"PaiSus",54,6,30.2232056305097,10.6,68,21.8907407407407,12.3490931378682,0.25,0.1,86.3690236867569,41.4571313696433,87.3273167001505,41.9171120160722,173.696340386907,83.3742433857155,11.93779,34.6791,18.0858435185185,5.0512050694923,0.339835,0.92275,0.656183812962963,0.163838828097809,"38","16",14,19,26,10919.3906657147,109193.906657147,15752.3775340891,63009.5101363564,17.2203416793504,0.658006957828742,0.715134849798894,0.686570903813818,0.678910146366972
"DUC_A01 P07 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P07",2016,"PaiSus",76,5,71.0191357288389,10.1,91.5,26.6381578947368,15.7461357554185,0.25,0.1,137.452164805585,65.9770391066808,228.843007260646,109.84464348511,366.295172066231,175.821682591791,11.59068,40.6118,19.9219826315789,6.24926943927525,0.3876667,0.9213636,0.704463686842105,0.135601281412384,"70","6",20,32,43,14959.0154333148,149590.154333148,42001.6015219851,168006.40608794,31.7596560421088,0.71962259511194,0.687006892802231,0.703314743957085,0.702369111888371
"DUC_A01 P08 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P08",2016,"PaiSus",59,7,54.5088060308026,10.2,98.8,24.6118644067797,17.0478038301,0.25,0.1,106.041479239847,50.8999100351263,174.684189938214,83.8484111703426,280.72566917806,134.748321205469,11.66071,42.28113,18.7476803389831,6.63355031129141,0.37475,0.9,0.710013620338983,0.14342569688566,"58","1",19,28,36,11754.4259930389,117544.259930389,29553.8181763173,118215.272705269,23.5759532635658,0.728613891600473,0.697431341872498,0.713022616736486,0.712978241247217
"DUC_A01 P09 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P09",2016,"PaiSus",73,4,56.4559584781928,10.1,75.7,25.3732394366197,14.5781828942771,0.25,0.1,163.418222902318,78.4407469931129,160.49624373578,77.0381969931746,323.914466638099,155.478943986288,11.59068,36.73028,19.3323722535211,6.03201866384196,0.3506667,0.9295,0.67842173943662,0.148576381097419,"68","3",23,30,40,17199.128074957,171991.28074957,30385.4213136674,121541.68525467,29.353296600424,0.711490754110877,0.663909081383104,0.68769991774699,0.691788855651928
"DUC_A01 P10 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P10",2016,"PaiSus",79,8,44.5327551893358,10.4,76.5,22.8620253164557,13.5024812895153,0.25,0.1,138.295515378255,66.3818473815625,123.016087065082,59.0477217912395,261.311602443338,125.429569172802,11.79985,36.93682,18.1157896560633,5.73258454226137,0.3506667,0.9,0.635550937552743,0.145104583561306,"79","0",27,42,54,17489.9924307896,174899.924307896,26108.8968980418,104435.587592167,27.9335511900063,0.630574129291233,0.59754749180784,0.614060810549536,0.618226410706116
"DUC_A01 P11 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P11",2016,"PaiSus",60,2,48.8154822936665,10,65.8,24.1576271186441,15.7312253001719,0.25,0.1,86.1308411845944,41.3428037686053,160.86024240227,77.2129163530898,246.991083586865,118.555720121695,11.52033,34.07043,18.6034961016949,6.59886386781585,0.2547611,0.9295,0.662977184745763,0.184715795529581,"56","3",23,33,38,10834.0414472983,108340.414472983,27481.7728876605,109927.091550642,21.8267506023625,0.641708039065181,0.735616867128292,0.688662453096736,0.689003784217415
"DUC_A01 P12 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P12",2016,"PaiSus",66,2,72.5795820788933,10,90,27.2061538461538,16.7624196206413,0.25,0.1,131.402413849757,63.0731586478834,237.218696564832,113.864974351119,368.621110414589,176.938132999003,11.52033,40.25984,19.8829767692308,6.78924497114649,0.4838185,0.92275,0.728505881538462,0.117826395399273,"65","0",18,25,38,13353.9364766876,133539.364766876,38556.1697349033,154224.678939613,28.7764043706489,0.738618148975637,0.759330514135903,0.74897433155577,0.749718763999591
"DUC_A01 P13 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P13",2016,"PaiSus",53,9,49.2540206508681,10,82,25.7339622641509,15.9640936454791,0.25,0.1,69.9345969673021,33.568606544305,168.856374892682,81.0510599484872,238.790971859984,114.619666492792,11.52033,38.32628,19.2719309433962,6.56279196149259,0.436,0.8676923,0.667187673584906,0.143148729271188,"53","0",19,28,36,8578.85701490052,85788.5701490052,29395.8274817683,117583.309927073,20.3371880076078,0.682351933091915,0.719554364110038,0.700953148600976,0.703861224223059
"DUC_A01 P14 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P14",2016,"PaiSus",59,5,48.3506299540127,10.3,65.5,26.5169491525424,15.5308830548326,0.25,0.1,100.411013592034,48.1972865241762,153.628885656378,73.7418651150615,254.039899248412,121.939151639238,11.73043,33.9866,19.7214318644068,6.52706200266443,0.3833333,0.9423333,0.615207291525424,0.139257128675948,"56","3",19,27,34,12262.987011802,122629.87011802,31307.6436911103,125230.574764441,24.7860444882461,0.617371057422062,0.635014551129104,0.626192804275583,0.626285367484055
"DUC_A01 P15 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P15",2016,"PaiSus",58,5,44.182724123413,10,75.4,24.1775862068966,15.7965801662442,0.25,0.1,91.0783827081339,43.7176236999043,140.054784655659,67.2262966347163,231.133167363793,110.943920334621,11.52033,36.65252,18.6455596551724,6.38218080435745,0.41,0.9,0.624528105172414,0.126614958915732,"55","3",15,27,32,12116.8950994284,121168.950994284,25682.3942793904,102729.577117562,22.3898528111846,0.604406987784123,0.653332287821255,0.628869637802689,0.626854993251376
"DUC_A01 P16 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P16",2016,"PaiSus",67,1,32.0429376062893,10.1,70,21.3477611940299,11.0528394570499,0.25,0.1,126.05309529204,60.5054857401792,78.8066037863497,37.8271698174479,204.85969907839,98.332655557627,11.59068,35.22336,17.6238522782253,4.83466029126979,0.41,0.92275,0.63821206652452,0.133982603109417,"57","10",18,28,36,15788.7885929442,157887.885929442,14524.9180144234,58099.6720576936,21.5987557987136,0.642376641052863,0.693547804349049,0.667962222700956,0.656141451554105
"DUC_A01 P17 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P17",2016,"PaiSus",52,2,42.8371245211768,10,71.4,24.9076923076923,14.6825205689081,0.25,0.1,102.448634449646,49.1753445358301,130.496560512972,62.6383490462266,232.945194962618,111.813693582057,11.52033,35.59941,19.1089525,6.0374564659056,0.326,0.9423333,0.686177903846154,0.149641181238941,"48","4",18,30,40,12162.3146752177,121623.146752177,21809.9572188328,87239.828875331,20.8862975627508,0.658772210957254,0.750021226916199,0.704396718936727,0.696885948030012
"DUC_A01 P18 50x50 2016","DUC_A01","50x50","AM","Reserva Florestal Adolpho Ducke","P18",2016,"PaiSus",76,6,53.161353361256,10.2,74.2,23.5706666666667,14.6461670415508,0.25,0.1,116.048927462333,55.7034851819197,166.216672548148,79.7840028231111,282.265600010481,135.487488005031,11.66071,36.33981,18.3702664640657,6.07398668016252,0.3506667,0.92275,0.630276989333333,0.171543398370912,"75","0",22,29,39,14511.9589447273,145119.589447273,30681.4064655254,122725.625862101,26.7845215309375,0.654305567640173,0.676801646508313,0.665553607074243,0.664613182638435
